name,parent,component
Score final,,resultado
Solvencia Moral,Score final,pilar
Formación,Solvencia Moral,segmento
Antecedentes Legales,Solvencia Moral,segmento
Opinión de cumplimiento,Antecedentes Legales,variable
Comportamiento de Pago,Solvencia Moral,segmento
Tasa de Éxito,Comportamiento de Pago,variable
Utilización de Crédito,Comportamiento de Pago,variable
Antigüedad de Buro,Comportamiento de Pago,variable
Saldo Vigente Crédito / Saldo Vigente Total > 20%,Comportamiento de Pago,variable
% Saldo Vencido,Comportamiento de Pago,variable
Peor MOP últimos 12 meses,Comportamiento de Pago,variable
Referencias,Solvencia Moral,segmento
Canal de Comercialización,Referencias,variable
Visibilidad,Solvencia Moral,segmento
Prescencia en Línea,Visibilidad,variable
Domicilios Registrados,Visibilidad,variable
Experiencia,Solvencia Moral,segmento
Antigüedad del Negocio,Experiencia,variable
Garantía,Score final,pilar
Aforo,Garantía,segmento
Ejecución,Garantía,segmento
Ubicación Garantía,Ejecución,variable
Colocación,Garantía,segmento
Descripción de la Garantía,Colocación,variable
Valor Futuro,Garantía,segmento
Calidad de la Garantía,Garantía,segmento
Tipo de Garantía,Calidad de la Garantía,variable
Mercado,Score final,pilar
Tamaño de Mercado,Mercado,segmento
Tendencia del Sector,Mercado,segmento
Empresa vs Mercado,Mercado,segmento
Factores Externos,Mercado,segmento
Proyecto Productivo,Score final,pilar
Impacto del Financiamiento,Proyecto Productivo,segmento
Horizonte de Inversión,Proyecto Productivo,segmento
Relación con la operación,Proyecto Productivo,segmento
Capacidad Financiera,Score final,pilar
Capacidad de Pago,Capacidad Financiera,segmento
EBITDA / Servicio de la Deuda,Capacidad de Pago,variable
Utilidad Fiscal / Servicio de la Deuda,Capacidad de Pago,variable
Modelo de Negocio,Capacidad Financiera,segmento
Ingresos,Modelo de Negocio,variable
Estados de Cuenta,Capacidad Financiera,segmento
Crecimiento,Capacidad Financiera,segmento
Crecimiento año actual vs año anterior,Crecimiento,variable
Apalancamiento,Capacidad Financiera,segmento
Deuda Buró / Ingresos,Apalancamiento,variable
Mercado,Capacidad Financiera,segmento
Sector,Mercado,variable
Estado,Mercado,variable
Congruencia Fiscal,Capacidad Financiera,segmento
Sustentabilidad,Score final,pilar
Gobernanza,Sustentabilidad,segmento
Ambiental,Sustentabilidad,segmento
Social,Sustentabilidad,segmento
Económico,Sustentabilidad,segmento
