name,parent,component
Score Final,,resultado
Solvencia Moral,Score Final,pilar
Garantía,Score Final,pilar
Capacidad Financiera,Score Final,pilar
Antecedentes Legales,Solvencia Moral,segmento
Comportamiento de Pago,Solvencia Moral,segmento
Referencias,Solvencia Moral,segmento
Visibilidad,Solvencia Moral,segmento
Experiencia,Solvencia Moral,segmento
Ejecución,Garantía,segmento
Colocación,Garantía,segmento
Calidad de la Garantía,Garantía,segmento
Capacidad de Pago,Capacidad Financiera,segmento
Modelo de Negocio,Capacidad Financiera,segmento
Crecimiento,Capacidad Financiera,segmento
Apalancamiento,Capacidad Financiera,segmento
Mercado,Capacidad Financiera,segmento
Opinión de cumplimiento,Antecedentes Legales,variable
Tasa de Éxito,Comportamiento de Pago,variable
Utilización de Crédito,Comportamiento de Pago,variable
Antigüedad de Buro,Comportamiento de Pago,variable
Saldo Vigente Crédito / Saldo Vigente Total > 20%,Comportamiento de Pago,variable
% Saldo Vencido,Comportamiento de Pago,variable
Peor MOP últimos 12 meses,Comportamiento de Pago,variable
Canal de Comercialización,Referencias,variable
Prescencia en Línea,Visibilidad,variable
Domicilios Registrados,Visibilidad,variable
Antigüedad del Negocio,Experiencia,variable
Ubicación Garantía,Ejecución,variable
Descripción de la Garantía,Colocación,variable
Tipo de Garantía,Calidad de la Garantía,variable
EBITDA / Servicio de la Deuda,Capacidad de Pago,variable
Utilidad Fiscal / Servicio de la Deuda,Capacidad de Pago,variable
Ingresos,Modelo de Negocio,variable
Crecimiento año actual vs año anterior,Crecimiento,variable
Deuda Buró / Ingresos,Apalancamiento,variable
Sector,Mercado,variable
Estado,Mercado,variable
Procedimientos Penales,Score Final,abortivo
Quebrantos o Quitas,Score Final,abortivo
Zonas de Riesgo,Score Final,abortivo
PEPS,Score Final,abortivo
Listas SAT 69B,Score Final,abortivo
Listas OFAC,Score Final,abortivo
Giros Prohibidos,Score Final,abortivo
Score,Score Final,abortivo
Score Final,Score Final,resultado
Monto,Score Final,resultado
Plazo,Score Final,resultado
Tasa,Score Final,resultado
Aforo Resultado,Score Final,resultado
Clasificación de Riesgo,Score Final,resultado
DSCR,Score Final,resultado
